Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
xuiOptionsAudioVoiceVolumeLevelTooltip2,UI,XUi Audio Options,x,,Sets party's voice volume,,Bestimmt die Stimmlautstärke der Gruppe,Ajusta el volumen de voz del grupo,Définit le volume des voix du groupe,Imposta volume della voce del gruppo,パーティーの声の音量を設定します。,파티 음성의 음량 설정,Ustaw głośność dialogów drużyny,Define o volume da voz da equipe,Устанавливает громкость голоса в группе,Bir grubun konuşma sesi düzeyini belirler,设置队伍语音音量,設置隊伍音量,Ajusta el volumen de voz del grupo


xuiOptionsControlsLookSensitivityTooltip2,UI,XUi Controls Options,x,,Sensitivity of mouse when moving the camera around,,Empfindlichkeit der Maus während die Kamera bewegt wird,Sensibilidad del ratón al mover la cámara,Définit la sensibilité de la souris dans les déplacements de la caméra,Sensibilità del mouse quando muovi l'inquadratura,カメラを動かす際のマウス感度です。,카메라 이동 시 마우스의 민감도,Czułość myszy podczas poruszania kamerą,Sensibilidade do mouse ao mover a câmera,"Чувствительность мыши, когда двигаешь камерой",Kamerayı hareket ettirirken fare duyarlılığı,四处移动镜头时的鼠标灵敏度,移動攝像頭時的滑鼠靈敏度,Sensibilidad del ratón al mover la cámara
xuiOptionsControlsZoomAccelTooltip2,UI,XUi Controls Options,x,,Acceleration of mouse when aiming down the sights,,Beschleunigung der Maus während des Zielens mit dem Zielfernrohr,Aceleración del ratón al apuntar hacia abajo,Définit l'accélération de la souris lors de la visée,Accelerazione del mouse quando utilizzi un mirino,照準下でのマウスの加速度,정조준 시 마우스 가속,Przyśpieszenie myszy podczas celowania,A aceleração do mouse ao mirar com miras,Ускорение мыши при прицеливании,Nişangâhla bakarken farenin hızlanması,开镜瞄准时鼠标加速,向下瞄準時的滑鼠加速
xuiOptionsControlsZoomSensitivityTooltip2,UI,XUi Controls Options,x,,Sensitivity of mouse when aiming down the sights,,Empfindlichkeit der Maus während des Zielens mit dem Zielfernrohr,Sensibilidad del ratón al apuntar hacia abajo,Définit la sensibilité de la souris lors de la visée,Sensibilità del mouse quando utilizzi un mirino,視界を下に向ける際のマウス感度です。,정조준 시 마우스의 민감도,Czułość myszy podczas celowania,Sensibilidade do mouse ao mirar,Чувствительность мыши при выносе точки прицеливания ниже цели,Nişangâhla bakarken fare hassasiyeti,瞄准时鼠标的灵敏度,向下瞄準時的滑鼠靈敏度,Sensibilidad del ratón al apuntar hacia abajo
xuiOptionsControlsVehicleSensitivityTooltip2,UI,XUi Controls Options,x,,Sensitivity of mouse when moving the camera around while driving vehicles.,,"Empfindlichkeit der Maus, während die Kamera beim Fahren von Fahrzeugen bewegt wird.",Sensibilidad del ratón al mover la cámara mientras manejas vehículos.,Définit la sensibilité de la souris dans les déplacements de la caméra lors de la conduite de véhicules.,Sensibilità del mouse quando muovi l'inquadratura mentre si guidano i veicoli.,運転中の車両周辺でカメラを動かす際のマウス感度です。,차량 운전 중에 카메라를 이동할 때의 마우스의 민감도입니다.,Czułość myszy podczas poruszania kamerą w trakcie prowadzenia pojazdów.,Sensibilidade do mouse ao mover a câmera enquanto estiver dirigindo veículos.,Чувствительность мыши при движении камеры во время управления транспортом.,Araç sürerken kamera hareketi fare hassasiyeti.,驾驶载具时，四处移动镜头时的鼠标灵敏度。,駕駛車輛移動攝像頭時的滑鼠靈敏度。,Sensibilidad del ratón al mover la cámara mientras manejas vehículos.
xuiOptionsControlsWeaponAimingTooltip2,UI,XUi Controls Options,x,,"Select how aiming down a weapon (iron sights or scopes) is done. Hold: You have to keep the aim button pressed as long as you aim. Hold and Toggle: Tap the aim button to toggle aiming, keep it pressed to only aim as long as you press it.",,"Wähle aus, wie das Zielen mit einer Waffe (Visiereinrichtung oder Zielfernrohr) funktioniert.\nHalten: Du musst die Taste zum Zielen gedrückt halten, solange du zielst.\nHalten und wechseln: Tippe die Taste an, um zum Zielen zu wechseln, halte sie gedrückt, um nur so lange zu zielen, wie sie gedrückt ist.",Selecciona cómo se apunta con las armas (mirillas de hierro o miras).\nMantener presionado: mantén presionado el botón de apuntar mientras apuntas.\nMantener presionado y alternar: toca el botón de apuntar para alternar el modo de apuntar. Solo apuntarás mientras lo mantengas presionado.,Sélectionnez la manière dont s'effectue la visée avec une arme (lunette ou viseur en fer).\nMaintenir : vous devez maintenir le bouton de visée appuyé pendant que vous visez.\nMaintenir et (dés)activer : appuyez une fois sur le bouton de visée pour activer/désactiver la visée. Maintenez le bouton appuyé pour ne viser que tant qu'il est enfoncé.,"Seleziona come puntare in basso un'arma (ottica o mirino).\nTieni premuto: devi tenere premuto il pulsante di mira durante tutto il processo.\nTieni premuto e attiva: tocca il pulsante di mira per attivare il processo, quindi tienilo premuto per prendere la mira solo finché resta premuto.",武器の照準 (照準器またはスコープ) を下に向ける方法を選択します。\n長押し: 照準を合わせている間、照準ボタンを押し続ける必要があります。\n長押しして切り替え: 照準ボタンをタップして照準を切り替え、押し続ければ、その間だけ照準を合わせることができます。,무기 조준 방법(조준경 또는 아이언 사이트)를 선택합니다.\n길게 누르기: 조준 버튼을 계속 눌러 조준합니다.\n길게 누르기 및 토글: 조준 버튼을 눌러 조준 버튼을 토글할 수 있으며 길게 눌러도 조준합니다.,"Wybierz sposób celowania z broni (celownikiem mechanicznym lub lunetą).\nPrzytrzymaj: Musisz trzymać wciśnięty przycisk celowania tak długo, jak celujesz.\nPrzytrzymaj i przełącz: Naciśnij przycisk celowania, aby przełączyć celowanie, albo przytrzymaj go, aby celować tylko tak długo, jak go trzymasz.","Selecione como será a mira da arma (mira metálica ou lunetas).\nSegurar: você deve manter o botão de mira apertado enquanto faz a mira.\nSegurar e alternar: toque no botão de mirar para alternar a mira, mantenha pressionado para mirar somente enquanto estiver apertando.","Выберите, как будет происходить прицеливание (с помощью механических или оптических прицелов).\nУдерживать: удерживайте кнопку прицеливания, пока целитесь.\nУдерживать и переключать: нажмите кнопку прицеливания, чтобы включить режим прицеливания. Удерживайте ее нажатой, чтобы целиться только пока вы ее удерживаете.","Silahla nasıl nişan alacağını (demir nişangâh veya dürbün) seç.\nBasılı tut: Nişan aldığın süre boyunca nişan alma düğmesini basılı tutmalısın.\nBasılı Tut ve Aç/Kapat: Nişan almayı açıp kapatmak için nişan alma düğmesine dokun, bastığın süre boyunca nişan al.",选择武器的瞄准方式（机械瞄具或瞄准镜）。\n按住：必须按住瞄准按钮以瞄准。\n按住和切换：点击瞄准按钮来切换瞄准，只要你按住就能一直保持瞄准。,選擇使用武器瞄準的方式（使用金屬瞄準器或瞄準鏡）。\n長按：在瞄準時，您必須一直按住瞄準按鈕。\n長按切換：輕按一下瞄準按鈕以切換至瞄準，使它保持按下的狀態，只有當您按按鈕時才會瞄準。,Selecciona cómo se apunta con las armas (mirillas de hierro o miras).\nMantener presionado: mantén presionado el botón de apuntar mientras apuntas.\nMantener presionado y alternar: toca el botón de apuntar para alternar el modo de apuntar. Solo apuntarás mientras lo mantengas presionado.
xuiOptionsControlsInvertMouseLookYTooltip2,UI,XUi Controls Options,x,,Invert the vertical axis of the mouse when moving the camera,,Invertiert die vertikale Achse der Maus während die Kamera bewegt wird,Invierta el eje vertical del ratón al mover la cámara,Inverse l'axe vertical de la souris dans les déplacements de la caméra,Inverti l'asse verticale del mouse quando muovi l'inquadratura,カメラ移動時のカメラの縦軸移動を反転させます。,카메라 이동 시 마우스의 수직 축 반전,Odwróć oś pionową myszy podczas poruszania kamerą,Inverter o eixo vertical do mouse ao mover a câmera,Инвертировать вертикальную ось мыши при перемещении камеры,Kamerayı hareket ettirirken farenin dikey eksenini ters çevir,移动镜头时反转鼠标的垂直轴,移動攝像頭時，反轉滑鼠的縱軸,Invierta el eje vertical del ratón al mover la cámara
xuiOptionsControlsAllowControllerTooltip2,UI,XUi Controls Options,x,,Allow controlling the game with a gamepad,,Erlaubt die Steuerung des Spiels mit einem Gamepad,Permite controlar el juego con un gamepad,Permet de jouer à l'aide d'une manette,Permetti di giocare con un gamepad,ゲームパッドでゲームを操作できるようにします。,게임패드로 게임을 컨트롤할 수 있도록 허용,Zezwól na grę kontrolerem,Permite usar um controle,Разрешить управление игрой с помощью геймпада,Oyunu kumandayla kontrol etmeye izin verir,允许使用手柄控制游戏,允許用手柄控制遊戲,Permite controlar el juego con un gamepad
xuiOptionsControlsControllerInterfaceSensitivityTooltip2,UI,XUi Controls Options,x,,Cursor movement speed within UI windows when using a controller,,"Geschwindigkeit der Zeigerbewegung innerhalb Fenster der Benutzeroberfläche, bei Verwendung eines Gamepads",Velocidad de movimiento del cursor dentro de las ventanas de la interfaz de usuario cuando se utiliza un controlador,Vitesse de déplacement du curseur dans les fenêtres de l'interface utilisateur lorsqu'une manette est utilisée,Velocità di movimento del cursore nella finestra IU quando usi un controller,コントローラー使用時の、UIウィンドウ内でのカーソル移動速度です。,컨트롤러 사용 중 UI 창에서의 커서 이동 속도,Szybkość ruchu kursora w oknach IU podczas korzystania z kontrolera,Velocidade de movimento do cursor em janelas de IU ao usar um controle,Скорость движения курсора в окнах ПИ при использовании джойстика,Kumanda kullanırken arayüz pencereleri içinde imleç hareket hızı,使用控制器时指针在UI窗口内的移动速度,使用控制器時在 UI 視窗的光標移動速度,Velocidad de movimiento del cursor dentro de las ventanas de la interfaz de usuario cuando se utiliza un controlador
xuiOptionsControlsControllerVibrationTooltip2,UI,XUi Controls Options,x,,"Enable vibration of the controller, e.g. when losing health",,"Aktiviert die Vibration des Gamepads, beispielsweise wenn Gesundheit verloren wird","Habilitar la vibración del controlador, por ejemplo, al perder la salud","Active les vibrations de la manette, par exemple lorsque votre santé baisse.","Attiva la vibrazione del controller, ad es. quando perdi salute",コントローラーの振動を有効にします（体力消耗時など）。,컨트롤러 진동 활성화. 예: 체력을 잃었을 때 등,"Włącz wibracje kontrolera, np. przy utracie zdrowia","Ative a vibração do controle, por exemplo, ao perder saúde","Включить вибрацию джойстика, напр., при потере здоровья",Kumandayı ör. sağlık kaybettiğinde titretmeyi etkinleştirir,开启控制器的震动，比如在损失生命值时,啟用控制器震動，如在失去生命值時,"Habilitar la vibración del controlador, por ejemplo, al perder la salud"


xuiOptionsControlsShowBindingsForTooltip,UI,Controls Dialog,x,,Select for which part of the game you want to see the controller mappings.,,"Wähle aus, für welchen Teil des Spiels du die Controllerbelegungen abrufen möchtest.",Selecciona en qué parte del juego quieres ver la disposición de los controles.,Sélectionnez pour quelle partie du jeu vous souhaitez voir la configuration de la manette.,Seleziona la parte del gioco di cui vuoi visualizzare le mappature del controller.,ゲームのどの部分のコントローラーマッピングを見たいかを選択する。,컨트롤러 매핑을 보고 싶은 게임의 부분을 선택합니다.,"Wybierz, dla którego działu gry chcesz zobaczyć przypisania kontrolera.",Selecione para que parte do jogo você quer ver os esquemas de controle.,"Выберите часть игры, для которой хотите увидеть клавиши управления.",Kumanda eşlemelerini görmek istediğin oyun bölümlerini seç.,选择想要查看控制器映射的游戏内容。,選擇你想要看到遊戲哪部分的控制器鍵位映射。,Selecciona en qué parte del juego quieres ver la disposición de los controles.
